LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,92110,ASSISTANT FOOTBALL COACH,16.19
APPLIED MICRO CIRCUITS CORPORATION,SUNNYVALE,CA,94089,PRINCIPAL DESIGN ENGINEER,132000
AMGEN INC.,THOUSAND OAKS,CA,91320,ASSOCIATE,57699
"JUNIPER NETWORKS, INC.",SUNNYVALE,CA,94089-,SOFTWARE ENGINEER,84115
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,ACCOUNT STRATEGIST,64800
"CANVAS INFOTECH, INC.",UNION CITY,CA,94587,BUSINESS SYSTEMS QA ANALYST,63107
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,92617-,ENGINEERING MANAGER 2,100027
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE/SYSTEMS TEST ENGINEER,79539.2
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF SOFTWARE/SYSTEMS TEST ENGINEER,96033.4
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSISTANT RESEARCHER,65400
THE CLOROX COMPANY,OAKLAND,CA,94612,FINANCIAL REPORTING CONTROLS MANAGER,1.00E+05
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,92617-,PLANNING SPECIALIST,75000
"APPLIED BIOSYSTEMS, LLC",CARLSBAD,CA,92008-,BIOINFORMATICS ENGINEER,85000
"DIGITAL DOMAIN PRODUCTIONS, INC.",VENICE,CA,90291,TECHNICAL DIRECTOR,62400
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065-,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 1),58599
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,45000
