LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
ALPHA NET CONSULTING LLC,SANTA CLARA,CA,95054,IT TALENT ACQUISTION SPECIALIST,48131
"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR.",STANFORD,CA,94305,PHYSICAL SCIENCE RESEARCH ASSOCIATE,68000
CHUANGJIA INTERNATIONAL CO.,FREMONT,CA,94536,PCB LAYOUT ENGINEER,63500
"SYSINTELLI, INC.",SAN DIEGO,CA,92126,COMPUTER PROGRAMMER,70000
EBAY INC.,SAN JOSE,CA,95125,SOFTWARE ENGINEER 3,110000
PRELUDE SYSTEMS INC.,IRVINE,CA,92606,NETWORK ENGINEER,60778
PARAMOUNT PICTURES CORPORATION,LOS ANGELES,CA,90038-3197,FINANCIAL ANALYST,65000
SPARTA CONSULTING INC.,FOLSOM,CA,95630,SENIOR CONSULTANT,110000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,STAFF HARDWARE ENGINEER,98987.2
"ASML US, INC.",SANTA CLARA,CA,95054,ENGINEER,74027
TINY PLANET INC,LA PALMA,CA,90623,PROGRAMMER ANALYST,55000
CUSTOMER CARE INC.,SAN RAMON,CA,94583,JR. SOFTWARE ENGINEER,60000
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,ELECTRICAL ENGINEER (HARDWARE DEVELOPER 2),90000
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,CA,94105,SYSTEMS ANALYST,60000
PIXAR,EMERYVILLE,CA,94608,SOFTWARE ENGINEER (TECHNICAL DIRECTOR),73000
"MONSTER CABLE PRODUCTS, INC.",BRISBANE,CA,94005,TECHNICAL PRODUCT AREA MANAGER - HEADPHONES,80000
"HP ENTERPRISE SERVICES, LLC",CUPERTINO,CA,95014,BUSINESS CONSULTANT,94307
UNIVERSITY OF THE PACIFIC,STOCKTON,CA,95211,ASSISTANT PROFESSOR OF FINANCE,111812
SPANSION LLC,SUNNYVALE,CA,94088,MTS SYSTEMS DEVELOPMENT ENGINEER,121000
ARYASAI INC.,DUBLIN,CA,94568,QA ANALYST,55450
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSISTANT RESEARCHER,63600
ALPHA NET CONSULTING LLC,SANTA CLARA,CA,95054,SYSTEMS ANALYST,60000
"OCEAN KNIGHT SHIPPING, INC.",COMPTON,CA,90221,ACCOUNTANT,22.78
"VENDAVO, INC.",MOUNTAIN VIEW,CA,94043,SOLUTION ENGINEER,115000
LYCEE INTERNATIONAL DE LOS ANGELES,VAN NUYS,CA,91406,ELEMENTARY SCHOOL TEACHER,44386
"SYSINTELLI, INC.",SAN DIEGO,CA,92126,PROGRAMMER ANALYST,60000
"ST. JUDE MEDICAL, CARDIAC RHYTHM MGMT DIV",SYLMAR,CA,91342,REMOTE CARE PRODUCT ENGINEER,80000
ZIONTECH SOLUTIONS INC,SANTA CLARA,CA,95054,SYSTEMS ANALYST,61963
LA BARCA JALISCO RESTAURANT NO. 4,BELL,CA,90201,BUSINESS ANALYST,55120
"CLASS TWIST, INC.",PALO ALTO,CA,94306,"DIRECTOR, EDUCATION SYSTEMS ANALYSIS",1.00E+05
PAUL I. TERASAKI FOUNDATION,LOS ANGELES,CA,90064,MEDICAL SCIENTIST,48000
"GRACENOTE, INC.",EMERYVILLE,CA,94608,"SOFTWARE ENGINEER, EMBEDDED APPLICATIONS",82500
"ABEAM TECHNOLOGIES, INC.",CASTRO VALLEY,CA,94546,POSTDOCTORAL RESEARCH SCIENTIST,69000
GRANITE CONSTRUCTION INCORPORATED,WATSONVILLE,CA,95076,QUALITY CONTROL ENGINEER,62171
PANDORA MEDIA INC.,OAKLAND,CA,94612,SENIOR SOFTWARE ENGINEER,100714
CYBERSOURCE CORPORATION,MOUNTAIN VIEW,CA,94043,SENIOR QUALITY ASSURANCE ENGINEER,88712
"ADDMIRED, INC.",PALO ALTO,CA,94301,DATABASE ENGINEER,1.00E+05
"ST. JUDE MEDICAL, CARDIAC RHYTHM MGMT DIV",SYLMAR,CA,91342,REMOTE CARE PRODUCT ENGINEER,80000
"WAVESTRONG, INC",DUBLIN,CA,94568,SECURITY ANALYST,65000
"SYNAPTICS, INC.",SANTA CLARA,CA,95054,SR. FIRMWARE ENGINEER,120000
SEARCHFORCE INC.,SAN MATEO,CA,94403,SENIOR USER INTERFACE ENGINEER,107099
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,105000
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",SANTA CRUZ,CA,95064,ASSOCIATE SPECIALIST,49824
"3K TECHNOLOGIES, LLC",FREMONT,CA,94539,PROGRAMMER ANALYST,60000
"ALPINE ELECTRONICS RESEARCH OF AMERICA, INC.",TORRANCE,CA,90501,PROJECT ENGINEER,75000
"ROBOTEX, INC.",PALO ALTO,CA,94304,PRODUCT DEVELOPMENT ENGINEER,75000
INFOGAIN CORPORATION,LOS GATOS,CA,95032,PROGRAMMER,49276
"COSYLAB USA, INC.",SAN FRANCISCO,CA,94111,SOFTWARE DEVELOPER,36.98
"KINETICOM, INC.",SAN DIEGO,CA,92101,SENIOR RF ENGINEER,124800
THE UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,90089,CLINICAL PROJECT MANAGER,90000
IDEO LLC,PALO ALTO,CA,94301,BUSINESS DESIGNER,58906
"PROCOPIO, CORY, HARGREAVES & SAVITCH LLP",SAN DIEGO,CA,92101,STAFF ATTORNEY,68.14
"SYSINTELLI, INC.",SAN DIEGO,CA,92126,PROGRAMMER ANALYST,65000
"DEW SOFTWARE, INC.",FREMONT,CA,94539,COMPUTER PROGRAMMER/ANALYST,66000
"CITRIX ONLINE, LLC",GOLETA,CA,93117,SOFTWARE SECURITY ENGINEER,1.00E+05
TINY PLANET INC,LA PALMA,CA,90623,PROGRAMMER ANALYST,60000
SOUTH BAY ACADEMY,TORRANCE,CA,90503,MATH TEACHER,22.75
CHEVRON CORPORATION,SAN RAMON,CA,94583,SENIOR BUSINESS DEVELOPMENT ADVISOR,195000
"RIVERSIDE RADIOLOGY MEDICAL GROUP, INC.",RIVERSIDE,CA,92507,RADIOLOGIST,325000
APN SOFTWARE SERVICES INC.,NEWARK,CA,94560,SOFTWARE VALIDATION ENGINEER,70000
SRS CONSULTING INC.,FREMONT,CA,94538,PROGRAMMER ANALYST,72000
LUMILEDS LIGHTING LLC,SAN JOSE,CA,95134,DIRECTOR OF MANUFACTURING,141898
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,PROJECT SCIENTIST,90300
DP TECHNOLOGY CORP,CAMARILLO,CA,93012,COMPUTER SOFTWARE PROGRAMMER,58000
INFOGAIN CORPORATION,LOS GATOS,CA,95032,DEVELOPER / ANALYST,69764
"BIO-RAD LABORATORIES, INC.",HERCULES,CA,94547,SYSTEMS ADMINISTRATOR - SENIOR,96530
"DAZ SYSTEMS, INC.",EL SEGUNDO,CA,90245,"SR. CONSULTANT, ORACLE APPS.; SR. SYSTEMS/BUSINESS",120000
"FACEBOOK, INC.",PALO ALTO,CA,94304,SOFTWARE ENGINEER,150000
"MARIN SOFTWARE, INC.",SAN FRANCISCO,CA,94105,OPERATIONS ENGINEER,92019
"PAYPAL, INC.",SAN JOSE,CA,95131,SOFTWARE ENGINEER,93413
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,VISITING ASS'T RESEARCHER,24.23
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,105000
"PANASAS, INC.",SUNNYVALE,CA,94085,SOFTWARE ENGINEER - DISTRIBUTED FILE SYSTEMS,84115
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,CA,94555,SYSTEMS ANALYST II,56700
"CALSOFT LABS, INC.",SANTA CLARA,CA,95054,SENIOR SOFTWARE ENGINEER,90000
APTINA LLC,SAN JOSE,CA,95134,STAFF FIELD APPLICATIONS ENGINEER,114000
INFOGAIN CORPORATION,LOS GATOS,CA,95032,ANALYST,79103
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"STAFF SYSTEMS ENGINEER, HARDWARE",98987.2
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,CUSTOMER SUPPORT ENGINEER,80800
"ORION HEALTH, INC.",SANTA MONICA,CA,90401,PROJECT MANAGER,120000
"GAZILLION, INC.",SAN MATEO,CA,94402,SOFTWARE ENGINEER,1.00E+05
"AGILE BRANDS, LLC",CHATSWORTH,CA,91311,INDUSTRIAL DESIGNER,52000
"BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",SAN FRANCISCO,CA,94105,ANALYST,65603
SANSUM DIABETES RESEARCH INSTITUTE,SANTA BARBARA,CA,93105,RESEARCH ASSISTANT,19.72
PRELUDE SYSTEMS INC.,IRVINE,CA,92606,PROGRAMMER ANALYST,60000
"PIPELINE SOFTWARE, INC.",SANTA ANA,CA,92705,SR. JAVA APPLICATION DEVELOPER,90000
"ORION HEALTH, INC.",SANTA MONICA,CA,90401,PRODUCT TECHNOLOGIST,120000
"DOLING CHANG ASHMORE, CPA",PALO ALTO,CA,94306,JUNIOR ACCOUNTANT,25.84
"UNIVERSITY OF CALIFORNIA, BERKELEY",BERKELEY,CA,94720,ASSISTANT RESEARCH ENGINEER,39.37
"DYNASOFT SYNERGY, INC",FREMONT,CA,94536,PROGRAMMER ANALYST,65000
"SMC NETWORKS, INC.",IRVINE,CA,92618,SOFTWARE DEVELOPER,70000
UST GLOBAL INC.,ALISO VIEJO,CA,92656,PROJECT MANAGER,110000
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE,LA JOLLA,CA,92037,POSTDOCTORAL ASSOCIATE,45959
MINDTREE LIMITED,SAN JOSE,CA,95110,SENIOR TEST ENGINEER,67413
"PHOTON INFOTECH, INC.",SAN JOSE,CA,95112,DEVELOPER,65541
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,CA,94105,PROGRAMMER ANALYST,85219
"MOORE'S OUR SCHOOL, INC.",PASADENA,CA,91104,KINDERGARTEN TEACHER,39250
RS SOFTWARE (INDIA) LTD,MILPITAS,CA,95035,SYSTEMS ANALYST,63107
"PAYPAL, INC.",SAN JOSE,CA,95131,SOFTWARE ENGINEER 2,105000
BYER CALIFORNIA,SAN FRANCISCO,CA,94103,PROGRAMMER ANALYST-M.I.S. DEPT.,68000
APTINA LLC,SAN JOSE,CA,95134,FAILURE ANALYSIS ENGINEER,90000
"SYNOPSYS, INC.",MOUNTAIN VIEW,CA,94043,SYSTEM ADMINISTRATOR,76003
"PAVEMENT RECYCLING SYSTEMS, INC.",MIRA LOMA,CA,91752-1100,PROJECT FACILITY ENGINEERING MANAGER,93000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,INTERACTION DESIGNER,110000
GLOBAL AGORA LLC,WOODLAND HILLS,CA,91364,UNIX SYSTEMS ADMINISTRATOR,59000
UST GLOBAL INC.,ALISO VIEJO,CA,92656,COMPUTER PROGRAMMER,51000
BSH HOME APPLIANCES CORPORATION,HUNTINGTON BEACH,CA,92649,ORGANIZATION MANAGER,74360
"INTERWOVEN, INC.",SAN JOSE,CA,95134,SR. PRINCIPAL CONSULTANT (TECH SALES ENGINEER),103750
COSMOGIA INC,SUNNYVALE,CA,94085-2805,ASTRODYNAMICS SYSTEM ENGINEER,50.59
"TWITTER, INC.",SAN FRANCISCO,CA,94107,PRODUCT MANAGER,131165
"LUNDQUIST CONSULTING, INC.",BURLINGAME,CA,94010,MARKET RESEARCH SQL ANALYST,50939
THE UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,90089,RESEARCH ASSOCIATE,42940.44
MARKETSHARE PARTNERS LLC,LOS ANGELES,CA,90025,TECHNICAL LEAD MANAGER,110000
PRODEE UNIVERSITY,LOS ANGELES,CA,90020,ADMINISTRATIVE MANAGER,27.19
"JBA INTERNATIONAL, LLC",PASADENA,CA,91104,SOFTWARE ENGINEER,85000
DACHENG LAW OFFICES LLP,LOS ANGELES,CA,90010,LEGAL SUPPORT WORKER,53000
"FORTUNE ENTERPRISE HOLDINGS, INC.",POMONA,CA,91768,AREA MANAGER,55000
TINY PLANET INC,LA PALMA,CA,90623,PROGRAMMER ANALYST,60000
UST GLOBAL INC,ALISO VIEJO,CA,92656,COMPUTER PROGRAMMER,56202
CHEVRON CORPORATION,SAN RAMON,CA,94583,PETROLEUM ENGINEERING RESEARCH SCIENTIST,113000
PACIFIC STATES UNIVERSITY,LOS ANGELES,CA,90010,EDUCATIONAL COUNSELOR,17.93
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,60000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,POSTDOCTORAL SCHOLAR,38496
SYNAPSE DESIGN AUTOMATION,SAN JOSE,CA,95113,ENGINEER,74027
"GAZILLION, INC.",SAN MATEO,CA,94402,SR. ETL DEVELOPER,105000
"AURIONPRO SOLUTIONS, INC.",SAN RAMON,CA,94583,PROGRAMMER ANALYST,83907
"NEWFIELD WIRELESS, INC.",BERKELEY,CA,94705,SOFTWARE ENGINEER,65800
SYNAPSE DESIGN AUTOMATION,SAN JOSE,CA,95113,ENGINEER,74027
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,60000
"CALIFORNIA NORTHSTATE COLLEGE OF PHARMACY, LLC",RANCHO CORDOVA,CA,95670,COMPUTER SYSTEMS ANALYST,73548.72
"BLUE STAR INFOTECH AMERICA, INC.",SANTA CLARA,CA,95054,GENERAL MANAGER & HEAD OF TESTING SERVICES,160000
HIPURBIA LLC,LOS ANGELES,CA,90035,INTERNATIONAL DIGITAL SERVICES SPECIALIST,55000
PREMIER FOOD SAFETY CORPORATION,FULLERTON,CA,92833,INFORMATION TECHNOLOGY DEVELOPER,38563
EMULEX DESIGN AND MANUFACTURING CORP,COSTA MESA,CA,92626,ASSOCIATE ENGINEER,59592
"BODHTREE SOLUTIONS,INC",FREMONT,CA,94539,SOFTWARE ENGINEER,1.00E+05
NTRUST INFOTECH INC.,SANTA ANA,CA,92705,PROGRAMMER ANALYST,55661
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,CA,94105,PROGRAMMER ANALYST,67101
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (APPLICATIONS DEVELOPER 2),95000
"PAYPAL, INC.",SAN JOSE,CA,95131,SOFTWARE ENGINEER 2,91100
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"SENIOR SYSTEMS ENGINEER, HARDWARE",85051.2
"KOTURA, INC.",MONTEREY PARK,CA,91754,SR. DEVELOPMENT ENGINEER,102500
"ADCO PRODUCTS, INC.",CHATSWORTH,CA,91311,INDUSTRIAL DESIGNER,52000
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (TECH Y! SOFTWARE APPS DEV ENG),87100
"PHOTON INFOTECH, INC.",SAN JOSE,CA,95112,BUSINESS ANALYST,60000
INFOGAIN CORPORATION,LOS GATOS,CA,95032,ARCHITECT,93414
"GLOBALFOUNDRIES U.S., INC.",MILPITAS,CA,95035,MEMBER OF TECHNICAL STAFF QUALITY ENGINEER,96574
"JBA INTERNATIONAL, LLC",PASADENA,CA,91104,SOFTWARE ENGINEER,85000
INFOGAIN CORPORATION,LOS GATOS,CA,95032,ANALYST,79103
"MAXLINEAR, INC.",CARLSBAD,CA,92011,APPLICATION ENGINEER,68000
ISHIFT CORP,FREMONT,CA,94539,PROGRAMMER ANALYST,60000
SONY COMPUTER ENTERTAINMENT AMERICA LLC.,FOSTER CITY,CA,94404,TRADE MARKETING MANAGER,101727
INFOMETRY INC,FREMONT,CA,94538,PROGRAMMER ANALYST,60000
"INTEGRATED DEVICE TECHNOLOGY, INC.",SAN JOSE,CA,95138,NETCOM SYNCHRONIZATION - DIRECTOR PRODUCT LINE MAN,170000
"GIGSKY, INC.",MOUNTAIN VIEW,CA,94043,CHIEF TECHNOLOGY OFFICER,118539
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,SOFTWARE ENGINEER,77000
INFOGAIN CORPORATION,LOS GATOS,CA,95032,ANALYST,79103
"KOMPSOFT, INC.",FREMONT,CA,94538,PERSONNEL/ TECHNICAL RECUITER,48443
EBAY INC.,SAN JOSE,CA,95125,"SOFTWARE ENGINEER 3, QUALITY",116500
"BRIGHTTALK, INC.",SAN FRANCISCO,CA,94105,COMMUNICATIONS SPECIALIST,41142
"MOORE'S OUR SCHOOL, INC.",PASADENA,CA,91104,KINDERGARTEN TEACHER,39250
"M&M CORPORATE SERVICES, INC.",PALO ALTO,CA,94304,ACCOUNTING SPECIALIST,53747
THE MITCHELL GROUP,AGOURA HILLS,CA,91301,COMPUTER PROGRAMMER,27.02
TOL INC,WOODLAND HILLS,CA,91364,MARKET ANALYST,36000
"SYSIQ, INC.",SAN FRANCISCO,CA,94103,CUSTOMER ENGAGEMENT MANAGER,68432
FOX CABLE NETWORK SERVICES LLC,LOS ANGELES,CA,900067,SR. APPLICATIONS DEVELOPER,120000
SYMANTEC CORPORATION,MOUNTAIN VIEW,CA,94043,SENIOR SOFTWARE QUALITY ASSURANCE ENGINEER,99115
AMGEN INC.,THOUSAND OAKS,CA,91320,SENIOR ASSOCIATE SCIENTIST,87000.16
"ESTUATE, INC",SUNNYVALE,CA,94089,PROGRAMMER ANALYST,62691
ABA BEARS,ALTA LOMA,CA,91701,LEAD BEHAVIOR THERAPIST,32198
BROADCOM CORPORATION,IRVINE,CA,92617,"ENGINEER, SR. STAFF - ELECTRONIC DESIGN",105935
"SHIMMICK CONSTRUCTION CO., INC.",OAKLAND,CA,94621,CIVIL ENGINEER,122640
APPLE INC.,CUPERTINO,CA,95014,CROSS FUNCTIONAL CREATIVE DIRECTOR,150000
"BODHTREE SOLUTIONS,INC",FREMONT,CA,94539,SOFTWARE DEVELOPER,85000
"TINYCO, INC.",SAN FRANCISCO,CA,94104,PRODUCT MANAGER,96637
GLU MOBILE INC.,SAN FRANCISCO,CA,94105,SOFTWARE ENGINEER,81000
INTEL CORPORATION,SANTA CLARA,CA,95054,COMPONENT DESIGN ENGINEER,83067
LSI CORPORATION,MILPITAS,CA,95035,DESIGN ENGINEER 2,70000
APPLE INC,CUPERTINO,CA,95014,ART DIRECTOR,125000
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,CA,94105,PROJECT MANAGER,60000
KLNTEK,ARCADIA,CA,91006,SENIOR ETL DEVELOPER,71843
"BYTEMOBILE, INC.",SANTA CLARA,CA,95050,SOFTWARE QUALITY ASSURANCE ENGINEER,98987
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,85051.2
"RAINBOW DENTAL LABORATORY, INC.",SAN FRANCISCO,CA,94107,DENTAL RESEARCH ASSISTANT,47000
"INFOOBJECTS, INC",SANTA CLARA,CA,95054,SYSTEMS ANALYST,65000
DACHENG LAW OFFICES LLP,LOS ANGELES,CA,90010,LEGAL SUPPORT WORKER,53000
"INFOYOGI, LLC",SANTA CLARA,CA,95051,SOFTWARE TESTER,55411
"CALIFORNIA CREATIVE SOLUTIONS, INC.",POWAY,CA,92064,COMPUTER PROGRAMMER,70470
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"STAFF SYSTEMS ENGINEER, SOFTWARE",98654.4
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,SYSTEMS ANALYST,65021
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (TECH Y! SOFTWARE QUALITY ENG),87100
SONY NETWORK ENTERTAINMENT INTERNATIONAL LLC,SAN JOSE,CA,94107,STAFF HUMAN FACTORS ENGINEER,92248
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,ELECTRICAL ENGINEER (HARDWARE DEVELOPER 2),90000
"AMPUSH MEDIA, INC.",SAN FRANCISCO,CA,94103,PRODUCT ENGINEER,60000
COAST SPORTS LLC,SANTA MONICA,CA,90402,DIRECTOR OF SPORTS EDUCATION AND ADMINISTRATION,35130
UST GLOBAL INC.,ALISO VIEJO,CA,92656,COMPUTER PROGRAMMER,47000
"JUNIPER NETWORKS, INC.",SUNNYVALE,CA,94089,TECHNICAL MARKETING SPECIALIST STAFF,113464
PIXAR,EMERYVILLE,CA,94608,SOFTWARE ENGINEER (TECHNICAL DIRECTOR),73000
"COGNILYTICS, INC.",SAN JOSE,CA,95138,MARKET RESEARCH ANALYST,63500
UST GLOBAL INC.,ALISO VIEJO,CA,92656,FINANCIAL ANALYST,54000
CAELUX CORPORATION,PASADENA,CA,91103,RESEARCH SCIENTIST,78000
"MELIAN LABS, INC.",SAN FRANCISCO,CA,94109,SOFTWARE ENGINEER,80000
SPARTA CONSULTING INC.,FOLSOM,CA,95630,PRINCIPAL CONSULTANT,95000
"PALO ALTO RESEARCH CENTER, INC.",PALO ALTO,CA,94304-1314,MEMBER OF RESEARCH STAFF (COMPUTER SCIENTIST),115000
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,ELECTRICAL ENGINEER (HARDWARE DEVELOPER 2),1.00E+05
"ACCELLION, INC.",PALO ALTO,CA,94303,APPLICATION DEVELOPER,78000
APPLE INC,CUPERTINO,CA,95014,SENIOR DESIGNER/ART DIRECTOR,110000
UST GLOBAL INC,ALISO VIEJO,CA,92656,SYSTEMS ANALYST,60000
TECHNICON DESIGN CORPORATION,SAN JUAN CAPISTRANO,CA,92675,AUTOMOTIVE DESIGNER,64480
"ZEALTECH, INC.",FREMONT,CA,94538,BUSINESS ANALYST,65042
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,60000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,HARDWARE ENGINEER,75899.2
"INTUITIVE SURGICAL OPERATIONS, INC.",SUNNYVALE,CA,94086,BIOMEDICAL ENGINEER (SR. CLINICAL DEVELOPMENT ENG),125
"KOMPSOFT, INC.",FREMONT,CA,94538,SOFTWARE DEVELOPER,79934
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (APPLICATIONS DEVELOPER 3),95000
"FIRETIDE, INC.",LOS GATOS,CA,95032,SYSTEMS ANALYST,62000
FIRST EURICA CAPITAL CORPORATION OF NEVADA,LONG BEACH,CA,90807,MECHANICAL ENGINEER,88026
"CARIBBEAN BLUES, INC.",LOS ANGELES,CA,90021,TEXTILE SALES ENGINEER,29
"MATTEL, INC.",EL SEGUNDO,CA,90245,SR. INDUSTRIAL ENGINEER,60000
SPARTA CONSULTING INC.,FOLSOM,CA,95630,CONSULTANT,85000
MIR PARTNERS INC.,SAN FRANCISCO,CA,94108,"SOFTWARE DEVELOPER, APPLICATIONS",76918
YAHOO! INC.,SUNNYVALE,CA,94089,SOFTWARE ENGINEER (TECHNICAL DIRECTOR),103100
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,116000
"BETA SOFT SYSTEMS, INC.",FREMONT,CA,94538,BUSINESS SYSTEMS ANALYST,55650
YAHOO! INC.,SUNNYVALE,CA,94089,"SOFTWARE ENGINEER (TECH Y!, SOFTWARE QUALITY ENG)",99653
SERENE CORPORATION,SANTA CLARA,CA,95054,SYSTEMS ENGINEER,47653
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,SYSTEMS ANALYST 11,69800
"CHILDREN OF PROMISE PREPARATORY ACADEMY, INC.",INGLEWOOD,CA,90303,ELEMENTARY SCHOOL TEACHER,46000
"POLMAK, INC.",SAN JOSE,CA,95110,WEB DESIGNER,72000
"TRITON CONTAINER INTERNATIONAL, INCORPORATED OF NO",SAN FRANCISCO,CA,94111,SOFTWARE ENGINEER II,75000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,85072
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"SENIOR SYSTEMS ENGINEER, SOFTWARE",83595.2
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,POSTDOCTORAL SCHOLAR,48900
INTEL CORPORATION,SANTA CLARA,CA,95054,SOFTWARE ENGINEER,103657
"FLEXTON, INC.",SANTA CLARA,CA,95054,SOFTWARE DEVELOPER,117000
EDWARDS LIFESCIENCES LLC,IRVINE,CA,92614,"SR. MANAGER, QUALITY ENGINEERING",149930.4
INTEL CORPORATION,SANTA CLARA,CA,95054,YIELD ENGINEER,84219
"DS SOFT TECH, INC",FREMONT,CA,94536,PROGRAMMER ANALYST,55000
"AIXTRON, INC.",SUNNYVALE,CA,94089,SOFTWARE ENGINEER,103709
"FOREVER 21, INC.",LOS ANGELES,CA,90058,ASSISTANT PRODUCTION MANAGER,60000
GREENPOINT INDUSTRIES INC,RANCHO DOMINGUEZ,CA,90221,ELECTRICAL ENGINEER,27.8
DYNASTY SHIPPING INC.,INGLEWOOD,CA,90301,LOGISTICS ANALYST,662
"ANCHORFREE, INC.",MOUNTAIN VIEW,CA,94043,MARKETING PROJECT MANAGER,30.35
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,84949
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,105000
"NUVEEN INVESTMENTS, INC.",LOS ANGELES,CA,90067,PERFORMANCE ANALYST,60000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,BUSINESS OPERATIONS PRINCIPAL,240000
"JBZ, INC",IRVINE,CA,92617,MARKET RESEARCH ANALYST,18.65
FORTUNA ASSET MANAGEMENT,SANTA MONICA,CA,90401,FINANCIAL ANALYST,22.78
"DEXCOM, INC.",SAN DIEGO,CA,92121,SR. HARDWARE ENGINEER,98987
UST GLOBAL INC.,ALISO VIEJO,CA,92656,SYSTEMS ANALYST,68000
"PAYPAL, INC.",SAN JOSE,CA,95131,"MTS 1, DATABASE ENGINEER",77106
SPARTA CONSULTING INC.,FOLSOM,CA,95630,SENIOR CONSULTANT,80000
"FISKER AUTOMOTIVE, INC.",ANAHEIM,CA,92807,SAP BUSINESS ANALYST,120000
INTEL CORPORATION,SANTA CLARA,CA,95054,GRAPHICS SOFTWARE ENGINEER,103983
"AGIVOX, INC.",SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,30
"PLAYDOM, INC., PART OF THE WALT DISNEY COMPANY",PALO ALTO,CA,94306,SOFTWARE ENGINEER,105000
LIFE TECHNOLOGIES CORPORATION,CARLSBAD,CA,92008,DEVELOPER,82160
"PAYPAL, INC.",SAN JOSE,CA,95131,SOFTWARE ENGINEER 2,95000
SYSTIME COMPUTER CORPORATION,SAN FRANCISCO,CA,94105,SYSTEMS ANALYST,64480
ETOUCH SYSTEMS CORPORATION,FREMONT,CA,94555,PROGRAMMER ANALYST,85000
"SPREADTRUM COMMUNICATIONS, INC.",SAN DIEGO,CA,92121,ASIC DESIGN ENGINEER,76008
KLEMMER  & ASSOCIATES,PETALUMA,CA,94954,PRESIDENT,180000
"NETENRICH, INC.",SAN JOSE,CA,95110,SENIOR PARTNER MANAGER,64854
MARKETSHARE PARTNERS LLC,LOS ANGELES,CA,90025,TECHNICAL ARCHITECT,105000
"KOMPSOFT, INC.",FREMONT,CA,94538,SOFTWARE TEST ENGINEER,71490
